nom,vi
吏 群 固 成 𫅜,ạ ò ó ì ì
官 麻 扒 特 囚 刑 惨 台, à ắ đượ ù ì ả 
吏 群 仉 𢘽 𫢩 𬨨 呆,ạ ò ẻ ạ  á ố
銭 朱 客 咹 空,ề  á ă ô
一 仍 伴 𦟐 紅,ấ ữ ạ á ồ
𫺈 𠸜 妬 𡦂 𢚸,ớ ê đố ữ ò
𣈜 拱 𡎢 盘 詩,à ũ ồ à ơ
嗃 同 人 耒 散 省 詩,ê đồ â ỗ á ế ơ
於 功 補 皮,ở ô ỏ ê
福 宗 必 得 耒 輸 歇 銭,ướ ô ấ đắ ồ  ế ề
固 花 曷 連 萬 宝,ó  ộ ề ạ ử
一 輸 咹 𥹙 拱 停,ấ  ă á ũ đà
辰 生 腿 外 情,ì  ó ạ ì
𫅷 辰 生 腿 性 桄 処 床,à ì  ó í  ử ằ
吹 公 𢖵 仉 南 𠊚 北, ô ợ ẻ  ườ ắ
歇 娘 吏 𠅎 𫔳,ế ươ ạ ấ ử
爫 朱 醜 伴 𡊨,à  ấ ọ đà
𫯳 𡥵 𠅎 𢚁 媄 吒 𠅎 𢘾,ồ  ấ ậ ẹ  ấ ờ
仍 客 桃 疎 柳 要,ữ á đà ơ ễ ế
沛 都 坤 争 窖 𠁀 𫢩,ả đ ô  é đờ 
斈 行 奔 半 𢬣,ọ à ô á 
爫 牢 熷 拱 𣈙 渃 𡽫,à  ỡ ù à ướ 
抵 吒 媄 𫯳 𡥵 特 𢚁,để  ẹ ồ  đượ ậ
局 荣 花 羶 𠊚 𠁀,ộ    ườ đờ
𫔳 盛 添 𢝙,ử ị ê 
𠳨 包 饒 𣦮 咳 姑 𨉓,ỏ  ê ổ ỡ ô ì
姉 拱 生 𦓡 㛪 拱 生,ị ũ  à  ũ 
堆 侶 如 印 詞 絏 𤽸,đô ứ ư  ờ ấ ắ
𠦳 𢆥 群 買 丐 春 撐,ì ă ò ã á â 
標 梅 之 監 情 𦝄 𩙌,ễ   á ì ă ó
蒲 柳 催 停 分 萌,ồ ễ ô đà ậ 
群 趣 𢝙 箕 𫳵 𫽄 𤳰,ò ú    ẳ ẽ
責 𠊚 𠏲 𤳰 窖 無 情,á ườ ợ ẽ é ô ì
武 吏 能 騎 𡭉 𪀄 𠖤,ũ ạ  ỡ ắ  
棋 高 帝 釋 昂 𢬣,ờ  đế í  
𦘧 能 如 意 群 𫢩 徒,ẽ  ư ý ò  ò
𡗋 𠊚 𡗉 𧵑 𤎔 𠁀 㗂,ắ ườ ề ủ ạ đờ ế
𤳇 司 馬 相 如 𠁀 𠓀, ư ã ươ ư đờ ướ
唒 固 羣 劍 虐 尋 吹,ẫ ó ò ế ượ ì ô
𠦳 鐄 𣠖 𥚯 𠬠 唭,à à ư ễ ộ ườ
玉 抌 𠬠 𨶜 羣 𡎢 𢗼 縐,ọ đ ộ đấ ò ồ  
𥆾 渃 𣷭 㳥 秋 強 潤,ì ướ ể ó  à ộ
屡 英 雄 𬑉 䀼 醝 迷,ũ  ù ắ â  ê
醝 迷 𢲩 襖 麻 𧗱, ê ắ á à ề
𠳨 𠽄 𣷭 苦 滝 迷 塘 芇,ỏ ă ể ổ ô ê đườ à
默 車 馬 噋 嗃 埃 意,ặ  ã ô   ấ
准 圭 門 杄 庒 移,ố ê ô  ẳ ờ
吏 添 𫼳 㗂 醜 沙,ạ ê  ế ấ 
牢 朱 平 𣈜 𡗶 從 且,  ằ à ờ  ả
枉 功 𣘈 粉 花 𠬠 𠁀,ổ ô  ấ  ộ đờ
飭 𫯳 都 𢀭 𨖅,ứ ồ đ à 
枚 𫥨 功 盛 強,  ô ị ườ
羶 𬛕 富 貴 𫼳 毎 芸,  ú ý  ọ ề
𠊚 中 渃 拱 辰 㤙 隊,ườ  ướ ũ ì â độ
爫 𢧚 歷 坦 迎 𡗶,à ê ệ đấ ê ờ
埃 空 觧 才, ô ả à
埃 庄 𠊚 固 功, ẳ ườ ó ô
唒 𡛔 𤳇 拱 中 𡗶 坦,ẫ á  ũ  ờ đấ
沛 爫 朱 恪 裙 𨥁,ả à  á ầ 
欣 𨤰 迷 銭 棋 泊,ơ ẽ ê ề ờ ạ
空 特 咹 麻 𠅎 𧵑,ô đượ ă à ấ ủ
畧 𠇮 荣 顕 𫔳,ướ ì  ể ử
𡢐 朱 奇 伴 𡊨 𦹳 淶,  ả ọ đà ơ â
𠇍 秋 𫢩 沕 群,ấ   ẫ ò
故 𫳵 欺 缺 吏 欺 𧷺,ớ   ế ạ  ò
𠳨 𡥵 白 兔 陀 包 𣦮,ỏ  ạ ỏ đà  ổ
𠳨 姉 姮 娥 㐌 𠇍 𡥵,ỏ ị ằ  đã ấ 
𣎀 最 故 𫳵 𥋸 閣 紫,đê ố ớ   á 
𣈜 撑 群 𢢆 𠇍 彚 𣘈,à  ò ẹ ấ ầ 
𠄼 更 泸 𣼽 除 埃 帝,ă  ơ ử ờ  đấ
𫨩 固 情 𥢅 貝 渃 𡽫, ó ì ê ớ ướ 
翁 瓊 生 拱 辰 買 氏 點 𠬠 𤳇 𠬠 𡛔 咍 一 𠁀,ô ỳ  ù ờ ớ ị để ộ  ộ á  ấ đờ
官 榜 生 點, ả  để
𠰺 学 路 冬 𡗋,ạ ọ ò đô ắ
瓊 𣈗 假 格 旦 䀡 評 文 底 𥄫 𥊘 氏 點,ỳ à ả á đế  ì ă để ấ é ị để
佛 說 大 聖 末 刼 真 經,â ế đạ á ạ ế â 
演 音,ễ â
從 容 因 𣅶 清 閑,  â ú  à
𠳒 經 𠽃 𠇍 行 吟 哦,ờ  ấ ấ à â 
演 排 𠬠 本 喃 哪,ễ ầ ộ ả ô 
底 朱 𡥵 𪨅 弹 婆 拱 䀡,để   ẻ đà à ũ 
買 𫨩 𪱨 𧡊 眼 前,ớ  ô ấ ỡ ề
埃 麻 忍 特 買 𢧚 身 𠊛, à â đượ ớ ê à ườ
事 尼 原 於 渃 𠊛,ư à ê ở ướ ườ
光 緒 𪜀 𠁀 茹 清, ự à đờ à 
陀 山 南 海 京,à ơ  ả 
洛 陽 𪜀 縣 西 平 府 分,ạ ươ à ệ â ì ủ â
王 家 𪜀 社 於 𧵆,ươ  à ã ở ầ
城 隍 廟 意 固 分 英 灵,à à ế ấ ó ầ  
生 末 刼 真 經, ạ ế â 
𢣂 𠇮 色 花 鮮,ĩ ì ắ  ươ
𪀄 英 𥄭 𦥃 𠰘 唭 供 醝,  ó đế ệ ườ ũ 
氷 雪 敢 𫼲 節 玉,ă ế á ờ ế ọ
𠬠 茄 鐄 待 𤒘 天 然,ộ à à đẫ độ ê ê
主 春 窖 倒 顛,ú â é đả đê
邀 花 麻 吏 底 煩 朱 花,ê  à ạ để ề  
𥪝 宮 禁 𪀄 車 少 仉,  ấ   ế ẻ
外 𤾓 官 卿 宰 别 包,à ă   ể ế 
𠃩 吝 庒 赴 𢭂,í ầ ẳ ó 
禾 番 底 𠬠 𦟐 桃 舌 𥢆,à ê để ộ á đà ệ ê
醝 終 鼎 悁 沔 道 奇,  đỉ ê ề đạ ả
𬆄 供 𤤰 舌 朶 夭 桃, ù  ệ đá ê đà
想 浪 權 奇 嵬 高,ưở ằ ề ả ô 
仍 供 預 𠓨 皇 妃,ữ ù ự à à 
假 女 渃 詫 之 𠇮 玉,ả ợ ướ á  ì ọ
咳 姉 姮 娥 媷 廣 寒,ỡ ị ằ  á ả à
𦊚 务 𦝄 𩙌 買 江 山,ố ù ă ó ớ  ơ
襖 仙 雖 潤 味 王 母,á ê  ậ ù ươ ẫ
香 俗 群 燶 焒 后 郎,ươ ụ ò ồ ử ậ 
𬑉 鳳 𢖵 醝 味 玉 素,ắ ượ ớ  ù ọ ố
宫 倪 𫳵 𢢆 曲 琴 鸞, ê  ẹ ú ầ 
𡀮 空 縁 𡢻 共 𠊚 世,ế ô ê ợ ù ườ ế
嗔 𠤆 𨉟 渃 合 歡, ớ ì ướ ợ 
𤾓 𢆥 𠀧 萬 𦒹 𠦳 𣈜,ă ă  ạ á ì à
𥪝 𡶀 𠦳 𢆥 𣘃 沕 固, ú ì ă â ẫ ó
唒 固 𠦳 鐄 𧁹 𢷮 台,ẫ ó ì à ó đổ 
塵 𤾓 𣦮 𥚯 空 埃,ầ ă ổ ễ ô 
擬 塘 名 利 𢚸 添,ĩ đườ  ợ ò ê
𧡊 几 奸 頑 䏾 吏 苔,ấ ẻ   ụ ạ đầ
噔 㤕 𡃊 台 味 俗 累,đắ ó ê  ù ụ ỵ
愊 𨉟 蹺 細 宫 𩄲,ự ì  ớ  â
分 桞 金 屋 枚,ậ ễ  ố 
香 𡗶 敖 鄂 唏 𠖤,ươ ờ à ạ ơ 
雪 霜 丿 俸 耗 𤷍 𠇮 蟡,ế ươ ú ỗ  ầ ì 
𥉫 𡽫 渃 𦊚 皮 語,ô  ướ ố ề ỡ
兑 人 縁 𨔾 𡗉 調,đá â ê ở ề đề
固 𢝙 麻 庒 固 夭,ó  à ẳ ó ê
責 蛮 王 底 𡛔 堯 過 辰,á  ươ để á ê á ì
恄 忠 直 醝 迷 讒 嚀,é  ự  ê ờ ị
𥙩 鮍 奇 梗 如 饒,ấ è ả á ư 
擬 𢱖 玉 扵 藍,ĩ  ọ ở 
品 金 㐌 𤑟 價 珠 罕 祥,ẩ  đã õ á â ẳ ườ
㗂 𬷤 永 永 嘅 𨕭,ế à ă ẳ á ê
怨 恨 𥊛 𫥨 泣 𫇳,á ậ ô  ắ ò
楳 惨 空 摳 𦓡 拱 谷,õ ả ô  à ũ ố
鐘 愁 𫽄 打 據 𫳵 喑,ô ầ ẳ đá ớ  
𠓀 𦖑 仍 㗂 添 油,ướ  ữ ế ê ầ
𪢈 𢚷 為 縁 底, ậ ì ê để
才 子 文 人 埃 妬 佐,à ử ă â  đó á
身 尼 𥚯 𠺥 𫅷,â à ễ ị à
𨑮 𬙞 𫨩 𨑮 𫤯 低,ườ ả  ườ á đâ
朱 些 腰 唒 𫽄 移 拪,  ê ấ ẳ ờ 
𠫅 澄 意 呈 𠀧 𧣳,à ừ ấ ề  ó
𠦳 𠸗 名 節 𪽋 芳,ì ư  ế ư ươ
𦎛 撩 𠄩 𡦂 綱 常 扵,ươ   ữ ươ ườ ở
箕 伴 友 怒 𫯳,ì ạ ữ ọ ồ
皮 拱 扵 𥪝 𨦩 人 倫,ề ũ ở  ò â â
䀡 𫥨 買 别 𡗶 𧵆,  ớ ế ờ ầ
爫 𠊛 𢖵 𪧚 𥙩 分 善 端,à ườ ớ ữ ấ ậ ệ đ
𢌌 狹 銀 㩒,ộ ẹ ầ ắ
強 𤎐 包 饒 辰 彊 𠖾,à ự  ê ì à á
腰 𣎀 庒 吏 腰 𣈜,ê đê ẳ ạ ê à
紅 紅 𦟐 粉 縁 爲 梞,ồ ồ á ấ ê ì ậ
主 唒 𤤰 腰 𠬠 丐 尼,ú ấ  ê ộ á à
書 𥦗 因 清 闲,ư  â  à
𧡊 𥪝 小 節 新 刊 停,ấ  ể ế â  à
𢖵 初 楊 礼 刘 平,ớ ư ươ ễ ư ì
詩 書 宝 渃 簪 𨁪 茄,ơ ư ả ướ â ấ à
𡑝 程 孔 鄰 羅,â ì ổ â 
拱 饒 交 吏 𠬠 茄 芝 蘭,ù   ạ ộ à  
情 䴡 凙 他 山,ì ệ ạ  ơ
撻 床 徐 子 𢭾 幔 董 公,đặ ườ ừ ử ô à đổ ô
𨑮 𢆥 𥪝 准 文 房,ườ ă  ố ă ò
𣈜 𬓲 堆 册 𣈘 終 𠬠 畑,à ê đô á đê  ộ đè
務 夏 海 海 𩙌 南 東,ù è â ẩ ó  đô
仙 女 𦣰 𨔈 𬨨 𥅞 燶,ê ữ ằ ơ á ấ ồ
畧 竹 攊 掑 𨕭 𠃅 𩯀,ượ ú ắ à ê á ó
裺 桃 𫴋 娘 竜,ế đà ố ươ 
堆 塸 蓬 島 霜 群 唅,đô ò ồ đả ươ ò ậ
瀝 桃 源 𤂬 𣜾 通,ạ đà ê ố ư ô
君 子 𨀍 𠫾 庒 𢴑,â ử ù đ ẳ ứ
𠫾 辰 拱 懙 於 𫳵 雙,đ ì ũ ở ở  
荣 永 𦖻 𦖑 㗂 哭 夷,ă ẳ   ế ó ì
傷 𫯳 𢧚 餒 哭 比 絲,ươ ồ ê ỗ ó ì 
𠮾 嗷 妾 𢖵 味 甘 草,ọ à ế ớ ù  ả
𤍇 𥸷 經 聖 傳 䝨,ấ ô  á ệ ề
餘 𭓇 泣 精 專 𨇜 阑,ư ọ ắ  ê đủ à
𫨩 吏 𤊪 盎 𤊪, ạ ở ươ ở
㗂 如 僂 蛮 夷,ế ư ũ  
蛮 夷 𥙩 色 爫 奇,  ấ ắ à ì
𦘧 杯 麻 吏 享 跪 邉,ẽ ô à ạ ưở ì ê
察 如 枉 才 淑 女,é ư ổ à ụ ữ
惜 藝 㐻 学 與 才 名,ế ề ò ọ ữ à 
嘆 喂 國 色 傾 城, ô ố ắ  à
㛪 姨 灰 星 𩔗, ị ô  à
𧯄 造 化 外 𨷑, ạ á à ở
𨢟 䔲 払 喂 味 桂 枝, đắ à ơ ị ế 
石 乳 陳 皮 𫳵 底 吏,ạ ũ ầ ề  để ạ
歸 身 連 肉 𢖵 𠫾, â ê ụ ớ đ
交 梂 妾 别 埃 特, ầ ế ế  đượ
生 寄 払 喂 死 則 歸, í à ơ ử ắ 
都 饒 捽 玉 燶 鐄,đ  ố ọ  à
欺 招 韻 賦 欺 盘 藝 文,  ầ ú  à ề ă
都 饒 草 聖 詩 神,đ  ả á  ầ
几 賖 㗂 𠊛 𧵆 别 名,ẻ  ế ườ ầ ế 
别 包 畑 焒 功 程,ế  đè ử ô ì
求 䝨 𧡊 詔 朝 廷 科,ầ ề ấ ế ề đì 
文 人 士 子 𧵆 賖,ă â ĩ ử ầ 
摺 招 桂 月 𢯏 花 都 才,ậ ì ế ệ ẻ  đ à
奇 𢘝 朱 𢧚 餒 懙 揚,ả ể  ê ỗ ở 
事 固 透 咳 庒 払,ự ó ấ ỡ ă à
縁 天 𣜾 𧡊 頭 育,ê ê ư ấ đầ ọ
分 了 𫳵 陀 乃 昂,ậ ễ  đà ả 
丐 罪 𤾓 𢆥 払 𠹾 奇,á ộ ă ă à ị ả
片 情 𠬠 塊 妾 嗔 恾,ế ì ộ ố ế  
包 𠰘 世 𠳒 征 歷, ệ ế ờ ê ệ
空 固 仍 𦓡 買 頑,ô ó ư à ớ 
功 名 埃 几 讓 埃,ô   ẻ ườ 
払 楊 脱 㐌 三 魁 榜 鐄,à ươ á đã  ô ả à
𢂎 𩂏 馭 𮪍 迎 昂,ù  ự ưỡ ê 
𪔠 𢫝 旗 𨕭 塘 荣 𡚖,ố  ờ ê đườ  
𧏵 𩄲 𩵜 渃 及 辰,ồ â á ướ ặ ì
桑 蓬 妥 志 男 買, ồ ả í  ấ
熷 𤇊 𢝙 席 花,ư ừ  ệ 
本 𠊛 歴 涉 吏 茄 風 光,ố ườ ị ệ ạ à  
𤗽 魄 空 弹,ị á  đà
軒 玩 月 𣠰 賞 花,ê ạ ệ à ưở 
局 盘 茶,ộ à è
堂 拜 祖 茄 接 賓,đườ á ổ à ế â
箕 朋 友 怒 鄉 粦,ì ằ ữ ọ ươ â
払 徐 𨀈 塘 𩄲,à ừ ướ đườ â
𢜠 酬 酢 主 賓 𢝙 闈,ừ ù ạ ủ â  ầ
宦 階 吝 堛 𣈜 𣈜 𨖲 髙,ạ  ầ ậ à à ê 
隊 㤙 𡗶 坦 别 包,độ ơ ờ đấ ế 
福 茄 禄 渃 洡 𤁓 奇 𠄩,ú à ộ ướ ồ à ả 
念 忠 孝 堛 英 才,ệ  ế ậ  à
𤎜 𪤍 祖 廕 浽 𠁀 科 名,á ề ổ ấ ố đờ  
𡄎 身 荣 𩔰 㐌 仃,ẫ â  ể đã đà
想 𠊛 故 友 晚 成 麻 傷,ưở ườ ố ữ ã à à ươ
払 刘 自 𣇫 鏖 場,à ư ự ở  ườ
𧡊 𠓀 題 扵 榜 鐄 仍 埃,ấ ướ đề ở ả à ữ 
𨀈 嘆 𥐆 咀 𨱽,ướ  ắ ở à
想 文 章 𫽄 劔 埃 麻,ưở ă ươ ẳ é  à
𭓇 才 試 分 生,ọ à  ậ 
𠬠 地 理 𠄩 紫 微,ộ đị í  ử 
傕 辰 𣌋 闷 麻 之,ô ì ớ ộ à 
如 梅 早 杏 遲 管,ư  ả ạ ì á
史 經 温 吏 朱 漏,ử  ô ạ  à
南 無 香 火 院 全, ô ươ ỏ ẹ ề
𡦂 情 哏 咘 𡦂 緣 洡 漅,ữ ì ắ ó ữ ê ồ à
南 無 東 柳 西 桃, ô đô ễ â đà
欺 𦋦 欺 𠓨 湘,   à ươ
南 無 ⿱ 莊, ô ộ 
𡽫 巫 彷 彿 臺 𦎛 𢠩 恾,  ả ấ đà ươ ơ à
南 無 𦲿 𧺀 𥿗 紅, ô á ắ ỉ ồ
排 情 風 月 妥 𢚸 雨 雲,ầ ì  ệ ỏ ò ũ â
南 無 𣷭 愛 源 㤙, ô ể á ồ â
晉 𥘿 沛 侶 朱 陳 當 堆,ấ ầ ả ứ â ầ đá đô
粉 堙 芝 𨤔 怒 羣 濃,ấ ê  ẻ ọ ò ồ
絲 縁 𣠖 㧅 蓬,ơ ê ử đè ồ
𨀋 蹎 辰 㐌 𫅩 紅 𠖤 高,ẩ â ờ đã á ồ  
𩵜 默 䋥 别 搓,á ắ ướ ế 
𠓨 棱 語 塘 𫥨,à ừ ỡ đườ 
庒 沛 吳 𦓡 庒 沛 些,ẳ ả ô à ẳ ả 
頭 辰 濁 禿 襖 空 邪,đầ ì ọ ó á ô à
𥺹 𤼸 𠓀 𩈘 𠄼 𠀧 品,ả â ướ ặ ă  ẩ
娓 納 𪢈 𨉞 𦒹 𬙞 婆,ã é  ư á ả à
欺 鐛 欺 𨦡, ả  
喠 喠 客 喠 希 阿,ọ ọ á ọ ê 
修 固 𨤰 蓮 師 具, ó ẽ ê ư ụ
𡴯 嶌 銼 蓮 怒 妬 𦓡,ấ ể à  ọ đó à
塘 功 名 待 科 𡢐 拱,đườ ô  đợ   ũ
傷 台 仍 堛 才 花,ươ  ữ ậ à 
朱 𡥵 造 撩 它 多 端,  ạ ê đà đ đ
𠊛 風 雅 𨀈 𮥷,ườ  ã ướ 
基 圖 䝉 正 江 山 買 臣,ơ đồ ô í  ơ ã ầ
塵 間 窒 堛 清 貧,ầ  ứ ậ  ầ
浪 冲 畑 册 專 勤 𥙩 之,ằ  đè á ê ầ ấ 
𢖵 𠊛 伴 友 故 知,ớ ườ ạ ữ ố 
徐 𣈗 中 荣 𡚖 旦 𣈙,ừ à ú   đế à
𠸦 台 𡥵 造 窖 坤 凢,   ạ é ô à
妬 揚 𫥨 别 𠇍 𫩓,đố ă  ế ấ à
𦠳 𥒥 𦹵 繚 𪮈 椹 𣠥,ườ đá ỏ  ờ ậ ạ
攊 溪 沚 𢱖 藍 岩,á  ả ó  
師 頭 濁 𡓮 摳 楳,ư đầ ọ ồ  õ
𠄩 小 𨉞 𧷺 與 庵, ể ư ò ữ 
旦 買 别 浪 𧯄 聖 化,đế ớ ế ằ  á á
蹲 蹎 痗 𨆝 唉 群 𢣇,ồ â ỏ ố ã ò 
香 鵉 擬 𢢆 俸 俄,ươ  ĩ ẹ ó 
鼎 終 𢝙 𨤔 之 麻 鼎 終,đỉ   ẻ  à đỉ 
𥪝 永 如 宮 武 謝, ắ ư  ũ ạ
𨅸 𬦪 𥊛 𫥨 景 𡴯 囂,đứ é ô  ả ắ 
塘 𠫾 偏 召 舘 𦼔 標,đườ đ ê ẹ á  đ
𢯧 技 橋 椥 拙 肯 跳,ỏ ẽ è  đố ẳ 
𠀧 濯 𣘃 撑 形 捥 𢰳, ạ â  ì ố é
𣳔 渃 碧 𦹵 潦 漂,ò ướ ế ỏ  
趣 𢝙 悁 奇 念 𡳵,ú  ê ả ề ũ
笠 𠃅 𦹵 𦱊 疎 壳,ợ á ỏ  ơ á
箕 丐 鹞 埃 𩙌 論 繚,ì á ề  ó ộ è
𦖑 浪 荣 𩔰 𡗋 台, ằ  ể ắ 
歐 些 此 𨖅 𫢩 世,â  ử   ế
㐌 勾 貧 賎 之 交,đã â ầ ệ  
吏 情 筆 硯 𫒂 涓 油,ạ ì ú ễ ẽ ê 
寅 夜 脱 㐌 細 茄 楊 公,ầ à á đã ớ à ươ ô
𧵆 賖 擬 歇 𨃴 頭,ầ  ĩ ế ó đầ
坡 配 𨤮 𭩪 塘, ô ậ ễ đườ
所 𨖅 吏 襊 吏 瓢 吏,ử  ạ ú ạ ầ ạ
粦 羅 㕸 𨀈 𠓨 冲,â  ắ ướ à 
𡗶 坦 生 𫥨 𥒥 𫇳,ờ đấ   đá ò
昂 魯, ỗ
𦼔 諸 宣 完,ê ơ  ẻ
𩙌 樁 嘹 撫 𠯰,ó ô  ỗ ậ
湥 渃 有 情 涞 𪷃 渀,ọ ướ ữ ì ơ õ õ
𡥵 塘 無 岸 最 音 音, đườ ô ạ ố  
𠸦 埃 搗 𥒥 才 穿,  đẽ đá à ê
窖 𠼯 𧯄 𫥨 𡗋 几 𥉰,é ở   ắ ẻ ò
突 夷 払 吏 䝉 徐,ụ è à ạ  ờ
𨔍 之 冲 公 侯,ạ ì  ô ầ
馭 車 戈 吏 網 𢂎 𠓨,ự   ạ õ ù à
官 客 軍 加, á â 
寔 富 貴 荣 培 分,ự ú ý  ộ ầ
㐌 𫨩 浪 伴 故 人,đã  ằ ạ ố â
想 勾 隔 官 民 麻 煩,ưở â á  â à ề
傕 悲 徐 𣅶 屯 邅,ô â ờ ú â ê
执 經 徔 權 别 牢,ấ  ù ề ế 
𥙩 調 情 𫇰 交,ấ đề ì ự 
排 撻 爲 埃 寔 窖 𫩓,à đặ ì  ự é ò
昂 魯 函, ỗ ò
𠊚 悁 景 佛 𨆁 蹎 𠽖,ườ  ả ậ  â ụ
几 𨔍 瓢 仙 痗 眜 𥈺,ẻ ạ ầ ê ỏ ắ ò
湥 渃 有 情 涞 聖 説,ọ ướ ữ ì ơ á ó
𧯄 無 岸 𩠴 藍 堪, ô ạ ú  
打 料 払 買 𨀈 𠓨 𠳨 𠶀,đá ề à ớ ướ à ỏ ă
𠸜 房 𥊛 𧡊 𠻵,ê ò ô ấ ắ
林 泉 眷 奇 繁 吏,â ề ế ả ồ ạ
𤑟 窖 𡗶 𦓅 旦 懙,õ é ờ à đế ở
岧 岧 吏 岧,đè đè ạ đè
𠸦 埃 窖 撻 景 招 蹽,  é đặ ả  
𣘈 𧺃 𡬶 音 莯, đỏ ù  ó
丸 𥒥 撑 夷 論 噴 𦼔,ò đá  ì ú ú ê
栗 了 梗 樁 干 𩙌 蔟,ắ é à ô ơ ó ố
潭 池 蘿 柳 湥 霜 招,đầ đì á ễ ọ ươ 
䝨 人 君 子 埃 𫽄,ề â â ử  ẳ
痗 𨆝 𨀛 蹎 沕 𫺓 岧,ỏ ố ồ â ẫ ố è
窖 窖 排 路 造 化 工,é é à ò ạ á ô
翁 𫯳 㐌 丕 吏 𫯳,ô ồ đã ậ ạ ồ
𦰟 畑 𨖲 𧡊 𤽸 抛,ọ đè ê ấ ắ 
𠓀 箕 丕 侵 役 夷,ướ  ậ ă ệ ì
払 𦖑 𠱊 買 𠱋 夷,à  ẽ ớ ù ì
監 疎 買 随 𠳒 尼,á ư ấ ỳ ờ à
原 浪 官 𢀲 𠊛 低,ê ằ  ớ ườ đâ
刘 平 碎 别 仍 𣈗 𡥵,ư ì ô ế ữ à 
寔 冲 伴 同 門,ự  ạ đồ ô
𠊛 它 𩔰 宦 碎 群 寒 儒,ườ đà ể ạ ô ò à 
源 干 包 管 𢢆 殊,ồ ơ  ả ẹ ò
𠬠 𠳒 𢚁 稟 朱 和,ộ ờ ậ ẩ  ạ
𧡊 𠳒 呐 拱 㤕 車,ấ ờ ó ũ ó 
𥊛 𠊛 𡥵 拱 𡥵 詩 書,ô ườ  ũ   ư
房 𦖑 心 事 闭 徐,ò  â ự ấ ờ
𨀈 𠓨 私 室 陳 辞 分 明,ướ à ư ấ ầ ừ â 
稟 翁 浪 固 𠬠 英,ẩ ô ằ ó ộ 
𠊛 𫽄 别 称 名 刘 平,ườ ẳ ế ư  ư ì
呐 浪 拱 伴 書 生,ó ằ ũ ạ ư 
埃 麻 𪧚 特 顕 荣 夀 長,  ữ đượ ể  ọ ườ
共 官 𢀲 沕 㤙 情 芝 𬞕,ù  ớ ẫ â ì  
拯 﨤 𣅶 貧 寒,ẳ ặ ú ầ à
朱 𢧚 𠊛 沛 𡬶 𨖅 底 𢘾, ê ườ ả ì  để ờ
楊 公 者 格 爫 盧,ươ ô ả á à ờ
𠵩 浪 䋲 窖 𡬶 噅 稟 𠳹,ở ằ ằ é ầ ơ ẩ ằ
眉 它 别 𤏣 世 庒, đà ế ỏ ế ă
伴 仍 几 凌 仍 意 麻,ạ ữ ẻ ă ă ấ à
傕 辰 㐌 典 低 些,ô ì đã đế đâ 
𠶆 茄 客 料 麻 沛 庒,ờ à á ệ à ả ă
朱 眉 駭 保 浪,  ã ả ằ
翁 當 伴 故 人 冲 茄,ô đươ ạ ố â  à
𠳐 𠳒 房 買 𨀈,â ờ ò ớ ướ
𢫕 𦝄 粓 怒 辱 牙 𨇜 塘,ư ư ơ ọ ố  đủ đườ
𧡊 英 𠰚 麻 傷,ấ  ỉ à ươ
𡗶 當 唵 𠵇 𦊚 方,ờ đươ ê ả ố ươ
然 浽 㗂 𩆐 同 同,ê ổ ế ấ đù đù
埃 埃 𦖑 拱 咳 雄,   ũ ã ù
外 噋 嗃 体 助 秦 王,à ô  ể ợ ầ ươ
𢗽 𢝙 供 丐 事 常,ẻ  ũ á ự ườ
𠸦 埃 窖 𦘧 堆 塘 格 𩜙,  é ẽ đô đườ á 
别 𠓀 過 橋 會,ế ướ  ầ ộ
辰 供 仃 𫮇 䑓 楊,ì ũ đà ố đà ươ
底 之 螉 𧊉 長,để   ướ ườ
䀡 花 𣠖 𤑟 㐌 芒 㗂 𠁀,  ư õ đã  ế đờ
𥆾 蓮 菊 想 味 茶 味,ì  ú ưở ù à ị
詩 弹 吟 擬 𡽫 滝, đà ẫ ĩ  ô
𡽫 滝 賖 格 重, ô  á ù
江 南 想 望 忉 𢚸 𢘾 傷,  ưở ọ đ ò ớ ươ
埃 𫨩 英 拱 坊 斉 人,   ũ ườ ề â
朱 寔 拱 𢧚 身, ự ũ ê â
准 官 司 監 吝 巾 呐 乾,ố   á ầ â ó à
空 推 冲 准 芝 𬞕,ô   ố  
伴 𤿤 買 仍 坊 鮑 魚,ạ è ấ ữ ườ à ư
翁 碎 涓 别 包 徐,ô ô  ế  ờ
世 麻 英 監 托 辞 涓,ế à  á á ừ 
為 英 碎 沛 勤 拳,ì  ô ả ầ ề
碎 渚 稟 歇 翁 連 𠵩,ô ư ẩ ế ô ề ở
仍 麻 英 拱 枚 麻,ư à  ũ  à
𣈘 職 桂 𥇀 景,đê ấ ế à ả
𣈗 𩲉 梅 塢 愈 𨉓 尼,à ồ  ủ ủ ì ầ
𢞂 𥉫 𨖲 色 𩄲,ồ ô ê ắ â
𡶀 姮 𡽫 泰 𤌋 𠖤 𢠩,ú ằ  á ó  ờ
翁 當 伴 席 待 同,ô đươ ạ ệ đã ò
傕 低 碎 㐌 固 𢚸,ô đâ ô đã ó ò
𠶆 英 𠶆 暫 朱 衝 耒 麻,ờ  ờ ạ   ồ à
払 𦖑 房 奴 辱 牙,à  ò ó ố 
擬 麻 𣹓 𫆧 路 𫗒 油,ĩ à đầ ộ ạ ă 
調 拯 打 麻 𤴬,đề ẳ đá à đ
紆 𮈔 𠃩 曲 涞 珠 堆 行,ò ờ í ú ơ â đô à
